广,州
23日（今天）,多云,26/17℃
24日（明天）,晴,27/18℃
25日（后天）,晴转多云,28/19℃
26日（周四）,晴,29/17℃
27日（周五）,晴,26/15℃
28日（周六）,晴,24/13℃
29日（周日）,多云转小雨,22/14℃
广,州
23日（今天）,多云,26/17℃
24日（明天）,晴,27/18℃
25日（后天）,晴转多云,28/19℃
26日（周四）,晴,29/17℃
27日（周五）,晴,26/15℃
28日（周六）,晴,24/13℃
29日（周日）,多云转小雨,22/14℃
广,州
4日（今天）,多云,17/9℃
5日（明天）,多云,21/9℃
6日（后天）,多云,23/11℃
7日（周一）,晴转多云,24/14℃
8日（周二）,多云,24/15℃
9日（周三）,多云,25/16℃
10日（周四）,晴,26/14℃
广,州
4日（今天）,阴转多云,28/21℃
5日（明天）,多云,29/22℃
6日（后天）,多云,30/22℃
7日（周三）,多云转小到中雨,31/21℃
8日（周四）,小到中雨转多云,27/21℃
9日（周五）,多云转阴,27/22℃
10日（周六）,阴,28/23℃
广,州
21日（今天）,中到大雨转中雨,7/5℃
22日（明天）,中雨,9/6℃
23日（后天）,多云转晴,14/5℃
24日（周四）,晴,17/9℃
25日（周五）,晴,19/10℃
26日（周六）,晴,21/13℃
27日（周日）,晴转多云,23/16℃
